
2024/07/19 (14:53:14) | ===> btop++ v.1.3.2
2024/07/19 (14:53:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/19 (20:11:58) | ===> btop++ v.1.3.2
2024/07/19 (20:11:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (12:10:08) | ===> btop++ v.1.3.2
2024/07/20 (12:10:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/20 (23:36:32) | ===> btop++ v.1.3.2
2024/07/20 (23:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (00:51:04) | ===> btop++ v.1.3.2
2024/07/21 (00:51:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (12:30:10) | ===> btop++ v.1.3.2
2024/07/21 (12:30:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (18:53:12) | ===> btop++ v.1.3.2
2024/07/21 (18:53:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/21 (18:57:10) | ===> btop++ v.1.3.2
